"clistingid","ilanguageid","csku","icategory","ccreateuser","dcreatedate"
"97ef93d4-d8c9-1004-8a97-438cca05a146",null,"H1344","77",null,"2015-02-07 00:00:00"
"97ef93d4-d8c9-1004-8a97-438cca05a146",null,"H1344","79",null,"2015-02-07 00:00:00"
"97ef93d4-d8c9-1004-8a97-438cca05a146",null,"H1344","285",null,"2015-02-07 00:00:00"
"97f0a544-d8c9-1004-8a97-438cca05a146",null,"H1340","77",null,"2015-02-07 00:00:00"
"97f0a544-d8c9-1004-8a97-438cca05a146",null,"H1340","79",null,"2015-02-07 00:00:00"
"97f0a544-d8c9-1004-8a97-438cca05a146",null,"H1340","283",null,"2015-02-07 00:00:00"
"97f204d4-d8c9-1004-8a97-438cca05a146",null,"H1327","77",null,"2015-02-07 00:00:00"
"97f204d4-d8c9-1004-8a97-438cca05a146",null,"H1327","79",null,"2015-02-07 00:00:00"
"97f204d4-d8c9-1004-8a97-438cca05a146",null,"H1327","285",null,"2015-02-07 00:00:00"
"97f31644-d8c9-1004-8a97-438cca05a146",null,"H1326","77",null,"2015-02-07 00:00:00"
"97f31644-d8c9-1004-8a97-438cca05a146",null,"H1326","79",null,"2015-02-07 00:00:00"
"97f31644-d8c9-1004-8a97-438cca05a146",null,"H1326","80",null,"2015-02-07 00:00:00"
"97f31644-d8c9-1004-8a97-438cca05a146",null,"H1326","287",null,"2015-02-07 00:00:00"
"97f400a4-d8c9-1004-8a97-438cca05a146",null,"H1325","77",null,"2015-02-07 00:00:00"
"97f400a4-d8c9-1004-8a97-438cca05a146",null,"H1325","79",null,"2015-02-07 00:00:00"
"97f400a4-d8c9-1004-8a97-438cca05a146",null,"H1325","285",null,"2015-02-07 00:00:00"
"97f51214-d8c9-1004-8a97-438cca05a146",null,"H1324","77",null,"2015-02-07 00:00:00"
"97f51214-d8c9-1004-8a97-438cca05a146",null,"H1324","79",null,"2015-02-07 00:00:00"
"97f51214-d8c9-1004-8a97-438cca05a146",null,"H1324","285",null,"2015-02-07 00:00:00"
"97f62384-d8c9-1004-8a97-438cca05a146",null,"H995","77",null,"2015-02-07 00:00:00"
