"clistingid","csku","cimageurl","clabel","iorder","bthumbnail","bsmallimage","bbaseimage"
"965edca0-d8c9-1004-8a97-438cca05a146","F996S","http://www.tomtop.com/media/catalog/product/1/2/12494595210_3.jpg",null,"1","t","t","t"
"965edca0-d8c9-1004-8a97-438cca05a146","F996S","http://www.tomtop.com/media/catalog/product/1/2/12494595211_3.jpg",null,"2","t","t","t"
"965edca0-d8c9-1004-8a97-438cca05a146","F996S","http://www.tomtop.com/media/catalog/product/1/2/12494595212_3.jpg",null,"3","t","t","t"
"965edca0-d8c9-1004-8a97-438cca05a146","F996S","http://www.tomtop.com/media/catalog/product/1/2/12494595213_3.jpg",null,"4","t","t","t"
"965fd3e4-d8c9-1004-8a97-438cca05a146","F996P","http://www.tomtop.com/media/catalog/product/1/2/12494592800_3.jpg",null,"1","t","t","t"
"965fd3e4-d8c9-1004-8a97-438cca05a146","F996P","http://www.tomtop.com/media/catalog/product/1/2/12494592801_3.jpg",null,"2","t","t","t"
"965fd3e4-d8c9-1004-8a97-438cca05a146","F996P","http://www.tomtop.com/media/catalog/product/1/2/12494592802_3.jpg",null,"3","t","t","t"
"965fd3e4-d8c9-1004-8a97-438cca05a146","F996P","http://www.tomtop.com/media/catalog/product/1/2/12494592803_3.jpg",null,"4","t","t","t"
"96609734-d8c9-1004-8a97-438cca05a146","F996BL","http://www.tomtop.com/media/catalog/product/1/2/12494590920_3.jpg",null,"1","t","t","t"
"96609734-d8c9-1004-8a97-438cca05a146","F996BL","http://www.tomtop.com/media/catalog/product/1/2/12494590921_3.jpg",null,"2","t","t","t"
"96609734-d8c9-1004-8a97-438cca05a146","F996BL","http://www.tomtop.com/media/catalog/product/1/2/12494590922_3.jpg",null,"3","t","t","t"
"96609734-d8c9-1004-8a97-438cca05a146","F996BL","http://www.tomtop.com/media/catalog/product/1/2/12494590923_3.jpg",null,"4","t","t","t"
"9661d7e8-d8c9-1004-8a97-438cca05a146","F996B","http://www.tomtop.com/media/catalog/product/1/2/12494588980_3.jpg",null,"1","t","t","t"
"9661d7e8-d8c9-1004-8a97-438cca05a146","F996B","http://www.tomtop.com/media/catalog/product/1/2/12494588981_3.jpg",null,"2","t","t","t"
"9661d7e8-d8c9-1004-8a97-438cca05a146","F996B","http://www.tomtop.com/media/catalog/product/1/2/12494588982_3.jpg",null,"3","t","t","t"
"9661d7e8-d8c9-1004-8a97-438cca05a146","F996B","http://www.tomtop.com/media/catalog/product/1/2/12494588983_3.jpg",null,"4","t","t","t"
"9662c43c-d8c9-1004-8a97-438cca05a146","F906","http://www.tomtop.com/media/catalog/product/1/2/12474681050_3.jpg",null,"1","t","t","t"
"9662c43c-d8c9-1004-8a97-438cca05a146","F906","http://www.tomtop.com/media/catalog/product/1/2/12474681051_3.jpg",null,"2","t","t","t"
"9662c43c-d8c9-1004-8a97-438cca05a146","F906","http://www.tomtop.com/media/catalog/product/1/2/12474681052_3.jpg",null,"3","t","t","t"
"9663125c-d8c9-1004-8a97-438cca05a146","F885","http://www.tomtop.com/media/catalog/product/1/2/12439239950_3.jpg",null,"1","t","t","t"
"9663125c-d8c9-1004-8a97-438cca05a146","F885","http://www.tomtop.com/media/catalog/product/1/2/12439239951_3.jpg",null,"2","t","t","t"
"9663125c-d8c9-1004-8a97-438cca05a146","F885","http://www.tomtop.com/media/catalog/product/1/2/12439239952_3.jpg",null,"3","t","t","t"
"9663125c-d8c9-1004-8a97-438cca05a146","F885","http://www.tomtop.com/media/catalog/product/1/2/12439239953_3.jpg",null,"4","t","t","t"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","http://www.tomtop.com/media/catalog/product/1/2/12439153860_3.jpg",null,"1","t","t","t"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","http://www.tomtop.com/media/catalog/product/1/2/12439153861_3.jpg",null,"2","t","t","t"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","http://www.tomtop.com/media/catalog/product/1/2/12439153862_3.jpg",null,"3","t","t","t"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","http://www.tomtop.com/media/catalog/product/1/2/12439153863_3.jpg",null,"4","t","t","t"
"9663fcbc-d8c9-1004-8a97-438cca05a146","F884","http://www.tomtop.com/media/catalog/product/1/2/12439153864_3.jpg",null,"5","t","t","t"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","http://www.tomtop.com/media/catalog/product/1/2/12439144940_3.jpg",null,"1","t","t","t"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","http://www.tomtop.com/media/catalog/product/1/2/12439144941_3.jpg",null,"2","t","t","t"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","http://www.tomtop.com/media/catalog/product/1/2/12439144942_3.jpg",null,"3","t","t","t"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","http://www.tomtop.com/media/catalog/product/1/2/12439144943_3.jpg",null,"4","t","t","t"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","http://www.tomtop.com/media/catalog/product/1/2/12439144944_3.jpg",null,"5","t","t","t"
"9665e8ec-d8c9-1004-8a97-438cca05a146","F189","http://www.tomtop.com/media/catalog/product/1/2/12439144945_3.jpg",null,"6","t","t","t"
"9667293c-d8c9-1004-8a97-438cca05a146","F878B","http://www.tomtop.com/media/catalog/product/1/2/12436737860_3.jpg",null,"1","t","t","t"
"9667293c-d8c9-1004-8a97-438cca05a146","F878B","http://www.tomtop.com/media/catalog/product/1/2/12436737861_3.jpg",null,"2","t","t","t"
"9667293c-d8c9-1004-8a97-438cca05a146","F878B","http://www.tomtop.com/media/catalog/product/1/2/12436737862_3.jpg",null,"3","t","t","t"
"9667ec8c-d8c9-1004-8a97-438cca05a146","F175","http://www.tomtop.com/media/catalog/product/1/2/12385770380_3.jpg",null,"1","t","t","t"
"9667ec8c-d8c9-1004-8a97-438cca05a146","F175","http://www.tomtop.com/media/catalog/product/1/2/12385770391_3.jpg",null,"2","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784460_3.jpg",null,"1","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784471_3.jpg",null,"2","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784472_3.jpg",null,"3","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784473_3.jpg",null,"4","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784474_3.jpg",null,"5","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784475_3.jpg",null,"6","t","t","t"
"9668b48c-d8c9-1004-8a97-438cca05a146","F157","http://www.tomtop.com/media/catalog/product/1/2/12372784476_3.jpg",null,"7","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_728_3.jpg",null,"1","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_729_3.jpg",null,"2","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_730_3.jpg",null,"3","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_731_3.jpg",null,"4","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_732_2.jpg",null,"5","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_733_2.jpg",null,"6","t","t","t"
"966921ec-d8c9-1004-8a97-438cca05a146","F118","http://www.tomtop.com/media/catalog/product/f/i/file_734_1.jpg",null,"7","t","t","t"
